"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^{(+)}","k_\rho^{(-)}","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
-40.,"1/2",1,1,1,21.39289551756241,44.771215126715745,0.34626977341406584,49.61973077867314,1.1250439386047282,-0.43759161093107857,-1.054553357331988,-0.00020689274126587995,-0.0006198622390218383,-0.0014934960505605481,-0.000012419172604460355,-0.23311164433937556,-0.57379655732403,0.,-0.6182319346921448,-0.24090061221939807,0.8231261290133138,-0.6182319346921449,-0.18819323060112356,-0.46323137626451033,0.,0.1986884038903629,-0.08071951626557587,-1.8384782219093523,0.010495173289239351,-0.5439508925300862,-1.8384782219093523,0.7071067859237454
-39.601990049751244,"1/2",1,1,1,21.218680362251227,44.35137351773361,0.3461864321191091,49.16580853830137,1.1245595123290484,-0.4378401556264062,-1.0551521998944382,-0.00021192805106954945,-0.0006290748549997327,-0.001515687825751246,-0.000012883259158978996,-0.23292030478479608,-0.5734953072356526,0.,-0.6178595853929195,-0.24082289373562565,0.8237365419965352,-0.6178595853929194,-0.18814542207178583,-0.46325079617139314,0.,0.19853629424896285,-0.08063384928154402,-1.8384781761095277,0.010390872177177018,-0.5438846454529371,-1.8384781761095277,0.7071067876880468
-39.20398009950249,"1/2",1,1,1,21.044365553984132,43.93129180573214,0.3461010499623267,48.71163845827916,1.124065773467414,-0.43809236703456095,-1.055759875004228,-0.00021714807193969407,-0.000638287470977627,-0.0015378796009419438,-0.000013347345713497637,-0.23272587883292475,-0.5731903197530848,0.,-0.617481994392117,-0.2407447149275318,0.8243565322214075,-0.6174819943921169,-0.18809646866315685,-0.4632706751742982,0.,0.1983817714947844,-0.08054667101748049,-1.838478127134289,0.01028530283162754,-0.5438173461917787,-1.838478127134289,0.7071067894253122
-38.80597014925373,"1/2",1,1,1,20.869949633372926,43.510966475269576,0.3460135534268763,48.257217090416184,1.1235624471240004,-0.43834824515554266,-1.0563763826613572,-0.00022255280387631373,-0.0006475000869555213,-0.0015600713761326419,-0.000013811432268016278,-0.2325282801277188,-0.5728815138505695,0.,-0.6170990296074967,-0.2406660795641976,0.8249863474175602,-0.617099029607497,-0.1880463300346963,-0.463291029225132,0.,0.1982247683000038,-0.08045793647923209,-1.8384781387625537,0.010178438265307482,-0.543748965704364,-1.8384781387625537,0.7071067885936562
-38.407960199004975,"1/2",1,1,1,20.695431141029427,43.09039401090421,0.3459238689959155,47.8025410007466,1.1230492474971518,-0.4386077899893514,-1.057001722865826,-0.00022814224687940852,-0.0006567127029334157,-0.0015822631513233397,-0.00001427551882253492,-0.23232742231313563,-0.5725688085023498,0.,-0.6167105578532768,-0.24058699141470422,0.8256262490114072,-0.6167105578532767,-0.18799496565339135,-0.4633118743233117,0.,0.19806521750351425,-0.08036760080040785,-1.8384781828508923,0.010070251850122891,-0.5436794751237196,-1.8384781828508923,0.7071067865039854
-38.00995024875622,"1/2",1,1,1,20.520808608840024,42.669570876331385,0.34583192244762206,47.34760674765843,1.1225258773088211,-0.4388710979053222,-1.0576361261843537,-0.0002339246834661165,-0.0006666317978081485,-0.001606146115360138,-0.00001480351100446909,-0.23212321829748428,-0.5722521221004998,0.,-0.6163164439328738,-0.24050745435665913,0.826276511713698,-0.6163164439328738,-0.1879423344402749,-0.46333322665781246,0.,0.19790305151074722,-0.08027561882854803,-1.838478158440261,0.00996071707047233,-0.5436088454863605,-1.838478158440261,0.7071067875731147
-37.61194029850746,"1/2",1,1,1,20.346080473446673,42.248493307193684,0.34573763075683767,46.892410658441925,1.121992026968589,-0.43913846167239384,-1.0582802939389815,-0.0002399282800156732,-0.0006768711317268033,-0.0016307968516440844,-0.000015364561657053132,-0.23191557220811956,-0.5719313665473235,0.,-0.6159165417472742,-0.2404274738877816,0.8269374130517011,-0.6159165417472741,-0.1878883908316476,-0.46335510420269904,0.,0.1977381956255921,-0.08018194047085157,-1.838478108791436,0.009849804793944511,-0.5435370446735506,-1.838478108791436,0.7071067899306358
-37.21393034825871,"1/2",1,1,1,20.17124511359742,41.82715740039477,0.34564090513633366,46.43694892679994,1.121447374042127,-0.43940990079624903,-1.0589342729319309,-0.00024615518030755184,-0.0006871104656454582,-0.0016554475879280307,-0.000015925612309637175,-0.2317043825564171,-0.5716064497502813,0.,-0.6155106978342078,-0.24034705665210687,0.8276092386210425,-0.6155106978342075,-0.18783308625350234,-0.463377526115029,0.,0.19757057067345346,-0.08008651251085531,-1.8384781268775883,0.00973748441995112,-0.5434640386258843,-1.8384781268775883,0.7071067895307278
-36.81592039800995,"1/2",1,1,1,19.996300907259705,41.405559250964174,0.34554165670899856,45.9812177618077,1.1208915827553831,-0.4396854152768877,-1.0595980631632027,-0.00025260538434175253,-0.0006973497995641129,-0.0016800983242119772,-0.000016486662962221217,-0.2314895477697697,-0.5712772795614858,0.,-0.6150987572407127,-0.2402662093139182,0.8282922903714547,-0.615098757240713,-0.18777637184412366,-0.4634005116279625,0.,0.1974000976198855,-0.07998928184718308,-1.8384781974320938,0.009623725775761843,-0.5433897934751456,-1.8384781974320938,0.7071067868023115
-36.417910447761194,"1/2",1,1,1,19.821246234016193,40.98369495776522,0.34543979686788184,45.525213395004,1.120324303305534,-0.439965006620017,-1.0602716688772478,-0.0002592780302117606,-0.0007079091599478551,-0.0017055232684994638,-0.00001707698772367549,-0.23127096650211587,-0.5709437639512497,0.,-0.6146805637314076,-0.24018493846088712,0.8289868877958798,-0.6146805637314074,-0.18771819861317632,-0.46342407998443935,0.,0.19722669784230357,-0.07989019568992961,-1.8384781873434828,0.009508499229127249,-0.543314275674369,-1.8384781873434828,0.7071067871735804
