state,x_i,y_i,z_i,x_j,y_j,z_j,|\braket{\psi|\sigma_i\sigma_j|\psi^*}|
1,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999902
1,0.0,0.0,0.0,0.5,0.8660254037844386,0.0,6.252789634171415e-15
1,0.0,0.0,0.0,-0.5,0.8660254037844386,0.0,6.916097762547945e-15
1,0.0,0.0,0.0,-1.0,0.0,0.0,6.381609542650945e-15
1,0.0,0.0,0.0,-0.5,-0.8660254037844386,0.0,6.290774093248344e-15
1,0.0,0.0,0.0,0.5,-0.8660254037844386,0.0,5.91545316471655e-15
1,0.0,0.0,0.0,1.0,0.0,0.0,5.612472655719227e-15
1,0.0,0.0,0.0,1.5,0.8660254037844386,0.0,2.648686217116582e-15
1,0.0,0.0,0.0,1.0,1.7320508075688772,0.0,2.1119407248768687e-15
1,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,3.359146524320486e-15
1,0.0,0.0,0.0,-1.0,1.7320508075688772,0.0,2.575334357488179e-15
1,0.0,0.0,0.0,-1.5,0.8660254037844386,0.0,2.965279847201926e-15
1,0.0,0.0,0.0,-2.0,0.0,0.0,1.862274280792206e-16
1,0.0,0.0,0.0,-1.5,-0.8660254037844386,0.0,3.1060667565774727e-15
1,0.0,0.0,0.0,-1.0,-1.7320508075688772,0.0,2.4545098277432785e-15
1,0.0,0.0,0.0,0.0,-1.7320508075688772,0.0,3.265135548615507e-15
1,0.0,0.0,0.0,1.0,-1.7320508075688772,0.0,2.047210898444842e-15
1,0.0,0.0,0.0,1.5,-0.8660254037844386,0.0,2.614850898235209e-15
1,0.0,0.0,0.0,2.0,0.0,0.0,1.825330132350211e-15
1,0.5,0.8660254037844386,0.0,0.0,0.0,0.0,6.252789634171415e-15
1,0.5,0.8660254037844386,0.0,0.5,0.8660254037844386,0.0,0.9999999999999902
1,0.5,0.8660254037844386,0.0,-0.5,0.8660254037844386,0.0,4.8866833150797445e-15
1,0.5,0.8660254037844386,0.0,-1.0,0.0,0.0,4.359610457436955e-15
1,0.5,0.8660254037844386,0.0,-0.5,-0.8660254037844386,0.0,4.322075496734397e-15
1,0.5,0.8660254037844386,0.0,0.5,-0.8660254037844386,0.0,3.74606108330244e-15
1,0.5,0.8660254037844386,0.0,1.0,0.0,0.0,4.055919538275477e-15
