state,x_i,y_i,z_i,"S_{i,x}","S_{i,y}","S_{i,z}"
1,0.0,0.0,0.0,-1.0568609966391108e-14,-2.012353913415892e-15,0.4999999999999951
1,0.5,0.8660254037844386,0.0,-5.4333793350641305e-15,-3.5220315468229032e-15,0.4999999999999951
1,-0.5,0.8660254037844386,0.0,-8.038300757810983e-15,-5.8689023627745334e-15,0.4999999999999951
1,-1.0,0.0,0.0,-1.3896862127198078e-14,-3.1632645052084766e-15,0.4999999999999951
1,-0.5,-0.8660254037844386,0.0,-9.684907367908908e-15,1.9164151017528976e-15,0.4999999999999951
1,0.5,-0.8660254037844386,0.0,-6.71676449200423e-15,8.408361241295681e-16,0.4999999999999951
1,1.0,0.0,0.0,-5.593529040600282e-15,-1.1302108135825413e-15,0.4999999999999951
1,1.5,0.8660254037844386,0.0,-2.537470770846289e-15,-1.2876729496072766e-15,0.4999999999999951
1,1.0,1.7320508075688772,0.0,-1.7244537330103013e-15,-1.6965256426227526e-15,0.4999999999999951
1,0.0,1.7320508075688772,0.0,-2.8997754685500346e-15,-3.425985212333865e-15,0.4999999999999951
1,-1.0,1.7320508075688772,0.0,-3.245135562808729e-15,-3.632808578150816e-15,0.4999999999999951
1,-1.5,0.8660254037844386,0.0,-7.260108073372196e-15,-3.77232321418779e-15,0.4999999999999951
1,-2.0,0.0,0.0,-6.402925927120682e-15,-1.429814844040625e-15,0.4999999999999951
1,-1.5,-0.8660254037844386,0.0,-8.111305026752592e-15,3.018310386107751e-16,0.4999999999999951
1,-1.0,-1.7320508075688772,0.0,-4.461158218817765e-15,1.885345481356968e-15,0.4999999999999951
1,0.0,-1.7320508075688772,0.0,-4.123789530941609e-15,1.7647480475970264e-15,0.4999999999999951
1,1.0,-1.7320508075688772,0.0,-2.366467823447544e-15,6.047844877647757e-16,0.4999999999999951
1,1.5,-0.8660254037844386,0.0,-2.9674524687712108e-15,8.668272718612429e-17,0.4999999999999951
1,2.0,0.0,0.0,-1.9917352323012185e-15,-4.188575475900034e-16,0.4999999999999951
1,-2.5,0.8660254037844388,0.0,0.0,0.0,1.0
1,-2.0,1.7320508075688774,0.0,0.0,0.0,1.0
1,-1.5,2.598076211353316,0.0,0.0,0.0,1.0
1,-2.5,-0.8660254037844386,0.0,0.0,0.0,1.0
1,-3.0,0.0,0.0,0.0,0.0,1.0
1,-2.0,-1.7320508075688772,0.0,0.0,0.0,1.0
1,0.5,-2.5980762113533156,0.0,0.0,0.0,1.0
1,-0.5,-2.5980762113533156,0.0,0.0,0.0,1.0
1,-1.5,-2.5980762113533156,0.0,0.0,0.0,1.0
1,2.5,-0.8660254037844388,0.0,0.0,0.0,1.0
1,2.0,-1.7320508075688774,0.0,0.0,0.0,1.0
1,1.5,-2.598076211353316,0.0,0.0,0.0,1.0
1,2.0,1.7320508075688772,0.0,0.0,0.0,1.0
1,2.5,0.8660254037844386,0.0,0.0,0.0,1.0
1,3.0,0.0,0.0,0.0,0.0,1.0
1,-0.5,2.5980762113533156,0.0,0.0,0.0,1.0
1,0.5,2.5980762113533156,0.0,0.0,0.0,1.0
1,1.5,2.5980762113533156,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,3.024815641017309e-14,3.4328053654465772e-15,0.3498789235146058
2,0.5,0.8660254037844386,0.0,0.009995451336694947,0.01731262955970584,0.4046311453983763
2,-0.5,0.8660254037844386,0.0,-0.009995451336646201,0.017312629559705188,0.40463114539836875
2,-1.0,0.0,0.0,-0.019990902673317993,2.6488829372680635e-15,0.40463114539834666
2,-0.5,-0.8660254037844386,0.0,-0.009995451336646064,-0.01731262955970032,0.4046311453983593
2,0.5,-0.8660254037844386,0.0,0.009995451336694895,-0.0173126295596994,0.40463114539838374
2,1.0,0.0,0.0,0.019990902673366142,2.84711321088104e-15,0.4046311453983698
2,1.5,0.8660254037844386,0.0,0.018474587235297317,0.010666307913462245,0.46895916770057655
2,1.0,1.7320508075688772,0.0,0.009280079344412738,0.01607356892277939,0.48274601161277464
2,0.0,1.7320508075688772,0.0,1.3209485588694392e-14,0.02133261582692352,0.4689591677005796
2,-1.0,1.7320508075688772,0.0,-0.009280079344391684,0.016073568922779703,0.48274601161276104
2,-1.5,0.8660254037844386,0.0,-0.01847458723527138,0.010666307913462524,0.4689591677005533
2,-2.0,0.0,0.0,-0.018560158688795486,1.0634771556205434e-15,0.4827460116127885
2,-1.5,-0.8660254037844386,0.0,-0.018474587235270862,-0.010666307913458217,0.4689591677005605
2,-1.0,-1.7320508075688772,0.0,-0.00928007934439193,-0.016073568922777177,0.4827460116127754
2,0.0,-1.7320508075688772,0.0,1.3229651749102622e-14,-0.021332615826919716,0.46895916770057783
2,1.0,-1.7320508075688772,0.0,0.009280079344411931,-0.016073568922776844,0.4827460116127839
2,1.5,-0.8660254037844386,0.0,0.01847458723529814,-0.010666307913458982,0.4689591677004793
2,2.0,0.0,0.0,0.01856015868881363,1.1619936783613394e-15,0.4827460116124984
2,-2.5,0.8660254037844388,0.0,0.0,0.0,1.0
2,-2.0,1.7320508075688774,0.0,0.0,0.0,1.0
2,-1.5,2.598076211353316,0.0,0.0,0.0,1.0
2,-2.5,-0.8660254037844386,0.0,0.0,0.0,1.0
2,-3.0,0.0,0.0,0.0,0.0,1.0
2,-2.0,-1.7320508075688772,0.0,0.0,0.0,1.0
2,0.5,-2.5980762113533156,0.0,0.0,0.0,1.0
2,-0.5,-2.5980762113533156,0.0,0.0,0.0,1.0
2,-1.5,-2.5980762113533156,0.0,0.0,0.0,1.0
2,2.5,-0.8660254037844388,0.0,0.0,0.0,1.0
2,2.0,-1.7320508075688774,0.0,0.0,0.0,1.0
2,1.5,-2.598076211353316,0.0,0.0,0.0,1.0
2,2.0,1.7320508075688772,0.0,0.0,0.0,1.0
2,2.5,0.8660254037844386,0.0,0.0,0.0,1.0
2,3.0,0.0,0.0,0.0,0.0,1.0
2,-0.5,2.5980762113533156,0.0,0.0,0.0,1.0
2,0.5,2.5980762113533156,0.0,0.0,0.0,1.0
2,1.5,2.5980762113533156,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,-8.29111085343115e-15,-1.0507657586508777e-15,0.2699840520385639
3,0.5,0.8660254037844386,0.0,0.020437626842449853,0.035399008077274564,0.33451165506544644
3,-0.5,0.8660254037844386,0.0,-0.02043762684246605,0.035399008077276674,0.33451165506545594
3,-1.0,0.0,0.0,-0.04087525368491619,4.915120434679891e-17,0.33451165506544445
3,-0.5,-0.8660254037844386,0.0,-0.020437626842464224,-0.03539900807727778,0.3345116550654512
3,0.5,-0.8660254037844386,0.0,0.02043762684244973,-0.03539900807727851,0.33451165506545966
3,1.0,0.0,0.0,0.040875253684909636,-1.7878087248471286e-15,0.3345116550654477
3,1.5,0.8660254037844386,0.0,0.033816996853876256,0.019524252236773895,0.4431591135261496
3,1.0,1.7320508075688772,0.0,0.016760895193644095,0.029030722055737104,0.4684360659887901
3,0.0,1.7320508075688772,0.0,-5.6493438399529694e-15,0.03904850447355254,0.443159113526123
3,-1.0,1.7320508075688772,0.0,-0.016760895193649886,0.029030722055739037,0.46843606598879517
3,-1.5,0.8660254037844386,0.0,-0.03381699685387923,0.01952425223677895,0.4431591135261449
3,-2.0,0.0,0.0,-0.0335217903872975,1.73823019237844e-16,0.46843606598878323
3,-1.5,-0.8660254037844386,0.0,-0.03381699685388179,-0.01952425223677861,0.44315911352614734
3,-1.0,-1.7320508075688772,0.0,-0.01676089519364894,-0.029030722055738874,0.4684360659887809
3,0.0,-1.7320508075688772,0.0,-4.459974056736371e-15,-0.03904850447355363,0.44315911352612114
3,1.0,-1.7320508075688772,0.0,0.016760895193644525,-0.029030722055739686,0.4684360659887764
